ENDPOINT;METODO_JAVA;ASSINATURA_COMPLETA
/acompanhamento/{ctx}/cliente/id;br.com.pacto.controller.json.acompanhamento.AcompanhamentoJSONControle.buscarAcompanhamentoPorClienteEDia(java.lang.String,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.acompanhamento.AcompanhamentoJSONControle.buscarAcompanhamentoPorClienteEDia(java.lang.String,java.lang.String,java.lang.String)
/acompanhamento/{ctx}/get;br.com.pacto.controller.json.acompanhamento.AcompanhamentoJSONControle.acompanhamento(java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.acompanhamento.AcompanhamentoJSONControle.acompanhamento(java.lang.String,java.lang.String)
/acompanhamento/{ctx}/get2;br.com.pacto.controller.json.acompanhamento.AcompanhamentoJSONControle.acompanhamento2(java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.acompanhamento.AcompanhamentoJSONControle.acompanhamento2(java.lang.String,java.lang.String)
/agendamento/{ctx}/agendados;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.agendados(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.agendados(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
/agendamento/{ctx}/agendadosAppAluno;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.agendadosAppAluno(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.agendadosAppAluno(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
/agendamento/{ctx}/agendamentoAvaliacao/{dia}/{confirmado}/{umaVezAno};br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.buscarAgendamentoAvaliacao(java.lang.String,java.lang.String,java.lang.Boolean,java.lang.Boolean,java.lang.Integer,javax.servlet.http.HttpServletRequest);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.buscarAgendamentoAvaliacao(java.lang.String,java.lang.String,java.lang.Boolean,java.lang.Boolean,java.lang.Integer,javax.servlet.http.HttpServletRequest)
/agendamento/{ctx}/cancelar;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.cancelar(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.cancelar(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer)
/agendamento/{ctx}/confirma;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.confirmar(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.confirmar(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer)
/agendamento/{ctx}/equipamento/{horario-turma-id}/{dia};br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.deletarHorarioEquipamentoAluno(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.deletarHorarioEquipamentoAluno(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest)
/agendamento/{ctx}/equipamento/{horario-turma-id}/{dia};br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.incluirHorarioEquipamentoAluno(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.String,java.lang.Integer,javax.servlet.http.HttpServletRequest);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.incluirHorarioEquipamentoAluno(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.String,java.lang.Integer,javax.servlet.http.HttpServletRequest)
